Delivery_person_ID,Delivery_person_Age,Delivery_person_Ratings,Restaurant_latitude,Restaurant_longitude,Delivery_location_latitude,Delivery_location_longitude,Order_Date,Time_Orderd,Time_Order_picked,Weatherconditions,Road_traffic_density,Vehicle_condition,Type_of_order,Type_of_vehicle,multiple_deliveries,Festival,City,Time_taken(min)
0,37,4.9,22.745049,75.892471,22.765049,75.912471,19032022,113000,114500,1,2,2,0,0,0,0,0,24
1,34,4.5,12.913041,77.683237,13.043041,77.813237,25032022,194500,195000,5,3,2,0,1,1,0,1,33
2,23,4.4,12.914264,77.6784,12.924264,77.6884,19032022,83000,84500,6,0,0,1,0,1,0,0,26
3,38,4.7,11.003669,76.976494,11.053669,77.026494,5042022,180000,181000,1,1,0,2,0,1,0,1,21
4,32,4.6,12.972793,80.249982,13.012793,80.289982,26032022,133000,134500,2,2,1,0,1,1,0,1,30
5,22,4.8,17.431668,78.408321,17.461668,78.438321,11032022,212000,213000,2,3,0,2,0,1,0,0,26
6,33,4.7,23.369746,85.33982,23.479746,85.44982,4032022,191500,193000,3,3,1,3,1,1,0,1,40
7,35,4.6,12.352058,76.60665,12.482058,76.73665,14032022,172500,173000,2,1,2,3,0,1,0,1,32
8,22,4.8,17.433809,78.386744,17.563809,78.516744,20032022,205500,210500,5,3,0,2,0,1,0,1,34
9,36,4.2,30.327968,78.046106,30.397968,78.116106,12022022,215500,221000,3,3,2,0,0,3,0,1,46
10,21,4.7,10.003064,76.307589,10.043064,76.347589,13022022,145500,150500,5,2,1,3,0,1,0,1,23
11,23,4.7,18.56245,73.916619,18.65245,74.006619,4032022,173000,174000,6,1,1,1,1,1,0,1,21
12,34,4.3,30.899584,75.809346,30.919584,75.829346,13022022,92000,93000,6,0,0,2,0,0,0,1,20
13,24,4.7,26.463504,80.372929,26.593504,80.502929,14022022,195000,200500,3,3,1,0,1,1,0,1,41
14,29,4.5,19.176269,72.836721,19.266269,72.926721,2042022,202500,203500,6,3,2,2,2,1,0,1,20
15,35,4.0,12.311072,76.654878,12.351072,76.694878,1032022,145500,151000,4,2,1,3,1,1,0,1,33
16,33,4.2,18.592718,73.773572,18.702718,73.883572,16032022,203000,204000,6,3,2,0,0,1,0,1,40
17,34,4.9,17.426228,78.407495,17.496228,78.477495,20032022,204000,205000,2,3,0,0,0,1,0,1,41
18,21,4.7,22.552672,88.352885,22.582672,88.382885,15022022,211500,213000,4,3,0,3,0,1,0,0,15
19,25,4.1,18.563934,73.915367,18.643935,73.995367,16032022,202000,202500,6,3,0,0,0,2,0,1,36
20,31,4.7,23.357804,85.325146,23.487804,85.455146,10032022,223000,224500,6,0,2,3,2,0,0,1,26
21,37,5.0,11.003669,76.976494,11.013669,76.986494,11032022,81500,83000,6,0,1,0,0,1,0,1,20
22,33,4.3,12.986047,80.218114,13.116047,80.348114,27032022,193000,194500,4,3,2,3,1,1,0,1,39
23,25,4.0,19.221315,72.862381,19.261315,72.902381,26032022,122500,123000,2,2,1,2,0,1,0,1,34
24,29,4.5,13.005801,80.250744,13.115801,80.360744,27032022,183500,185000,1,1,2,3,2,1,0,1,15
25,27,5.0,26.849596,75.800512,26.879596,75.830512,5042022,203500,204000,5,3,0,0,0,0,0,0,18
26,35,4.3,21.160522,72.771477,21.250522,72.861477,12032022,232000,233000,2,0,1,1,1,0,0,1,38
27,32,4.0,12.934179,77.615797,13.024179,77.705797,16032022,212000,213500,4,3,0,2,0,1,0,1,47
28,23,4.8,18.51421,73.838429,18.62421,73.948429,2042022,233500,234500,4,0,2,2,2,0,0,0,12
29,31,4.8,11.022477,76.995667,11.052477,77.025667,1042022,223500,225000,6,0,2,1,0,1,0,1,26
30,36,4.1,21.160437,72.774209,21.210437,72.824209,5032022,223500,224000,5,0,0,1,0,1,0,0,22
31,26,4.3,15.51315,73.78346,15.56315,73.83346,11022022,232500,233500,6,0,0,2,0,0,0,0,21
32,38,4.9,15.561295,73.749478,15.601295,73.789478,11022022,133500,134000,2,2,1,1,1,1,0,0,25
33,32,3.5,0.0,0.0,0.11,0.11,8032022,213500,214500,5,3,1,0,1,0,0,0,35
19,32,4.6,18.563934,73.915367,18.693935,74.045367,2042022,223500,224500,2,0,2,1,1,1,0,1,30
34,33,4.9,18.55144,73.804855,18.62144,73.874855,8032022,185500,191000,1,1,1,0,0,1,0,1,22
35,20,4.7,18.593481,73.785901,18.633481,73.825901,3042022,141500,142500,4,2,1,0,1,0,0,0,10
36,20,4.8,21.173343,72.792731,21.183343,72.802731,30032022,110000,111000,6,0,2,3,1,1,0,1,19
37,35,5.0,17.451976,78.385883,17.471976,78.405883,1042022,94500,95500,1,0,2,0,1,1,0,0,11
38,26,4.9,12.972532,77.608179,12.992532,77.628179,28032022,84000,85500,5,0,2,2,1,0,0,1,11
39,22,4.8,12.972532,77.608179,13.042532,77.678179,18032022,230000,231000,3,0,1,0,0,1,0,1,28
40,35,4.3,13.064181,80.236442,13.134181,80.306442,14032022,172500,173000,2,1,1,0,0,1,0,1,33
41,30,4.552556583685803,19.121999,72.908493,19.201999,72.988493,6042022,183821,183500,2,1,1,1,1,1,0,1,33
42,37,4.7,21.149569,72.772697,21.239569,72.862697,4042022,194500,195000,6,3,0,0,0,3,0,1,52
43,28,4.6,19.091458,72.827808,19.201458,72.937808,8032022,191000,192500,5,3,1,0,1,1,0,1,22
44,37,4.9,22.539129,88.365507,22.559129,88.385507,13022022,105500,110000,3,0,1,0,1,1,0,0,16
45,23,4.9,19.221315,72.862381,19.281315,72.922381,24032022,214000,214500,1,3,2,1,2,0,0,1,11
46,27,4.9,12.970324,77.645748,13.030324,77.705748,19032022,190000,191500,4,1,1,1,1,1,0,1,25
40,37,4.8,13.064181,80.236442,13.104181,80.276442,9032022,164500,165500,2,1,0,1,0,1,0,0,26
47,33,5.0,21.175975,72.795503,21.185975,72.805503,19032022,113000,114000,1,2,2,0,1,1,0,1,18
6,31,4.9,23.369746,85.33982,23.409746,85.37982,3042022,151000,151500,3,1,1,0,0,1,0,1,16
2,31,4.8,12.914264,77.6784,13.024264,77.7884,25032022,224500,225500,5,0,2,1,1,1,0,1,23
48,25,5.0,0.0,0.0,0.03,0.03,13022022,221000,222500,2,0,0,0,0,0,0,1,15
49,28,4.8,11.003681,76.975525,11.083681,77.055525,4042022,204500,205500,6,3,0,1,0,1,0,1,36
50,31,4.7,21.173343,72.792731,21.233343,72.852731,26032022,225000,230500,2,0,2,0,0,0,0,1,16
51,24,4.7,10.96185,76.971082,11.05185,77.061082,10032022,175500,180000,1,1,0,2,0,0,0,0,19
52,39,4.6,27.165108,78.015053,27.255108,78.105053,14022022,224500,230000,1,0,1,0,0,1,0,1,27
53,39,4.2,0.0,0.0,0.08,0.08,2032022,203500,205000,3,3,2,0,1,1,0,2,49
54,32,4.5,26.88842,75.800689,26.89842,75.810689,26032022,92500,94000,4,0,2,2,1,0,0,0,20
55,36,4.7,0.0,0.0,0.06,0.06,13032022,201500,202000,2,3,1,0,0,1,0,1,30
56,25,4.8,26.913987,75.752891,26.993987,75.832891,29032022,222500,223500,6,0,1,1,1,0,0,0,18
57,33,4.9,12.3085,76.665808,12.3385,76.695808,30032022,215500,220000,1,3,2,1,1,0,0,1,22
58,30,4.4,21.183434,72.814492,21.253434,72.884492,12032022,224000,225500,2,0,2,1,1,1,0,1,34
59,33,5.0,19.254567,72.848923,19.364567,72.958923,31032022,235000,235500,6,0,0,2,0,0,0,0,24
34,36,4.9,18.55144,73.804855,18.59144,73.844855,17032022,152500,154000,3,1,2,1,1,1,0,1,17
60,21,4.8,25.449659,81.839744,25.469659,81.859744,15022022,102000,103000,6,0,2,3,2,0,0,1,14
61,39,4.9,30.372202,78.077151,30.422202,78.127151,15022022,205500,210000,5,3,2,3,0,1,0,1,30
62,23,4.8,0.0,0.0,0.02,0.02,7032022,104000,105000,5,0,1,3,1,1,0,1,15
63,35,4.8,0.0,0.0,0.04,0.04,28032022,155500,160500,3,1,2,2,1,1,0,0,16
64,39,4.6,12.972793,80.249982,13.062793,80.339982,16032022,201000,201500,2,3,1,0,1,1,0,1,36
65,22,4.7,21.157735,72.768778,21.197735,72.808778,17032022,121000,121500,1,2,1,2,1,1,0,0,18
66,32,4.6,21.186438,72.794115,21.226438,72.834115,15032022,153000,154500,3,1,1,3,1,0,0,1,17
67,24,4.8,0.0,0.0,0.08,0.08,25032022,221000,221500,6,0,1,2,0,1,0,0,15
68,29,4.7,0.0,0.0,0.02,0.02,9032022,103500,104500,3,0,0,2,0,1,0,1,17
69,28,4.7220005528080495,12.935662,77.61413,12.975662,77.65413,11032022,161672,153000,3,0,1,1,1,0,0,1,19
70,26,4.7,17.431477,78.40035,17.491477,78.46035,5032022,235000,500,3,0,1,2,0,0,0,1,10
71,20,4.5,0.0,0.0,0.05,0.05,11022022,211000,212500,3,3,1,1,0,1,0,1,27
72,35,4.1,13.064181,80.236442,13.154181,80.326442,12032022,202500,204000,6,3,1,2,0,2,0,1,37
73,39,4.6,12.933298,77.614293,13.023298,77.704293,29032022,205000,210000,3,3,1,1,1,2,0,1,44
74,34,4.7,22.311358,73.164798,22.351358,73.204798,19032022,123500,124500,4,2,2,1,2,1,0,1,28
75,27,4.7,12.934365,77.616155,13.044365,77.726155,10032022,210000,211500,2,3,2,0,1,1,0,1,42
76,30,4.8,0.0,0.0,0.11,0.11,16022022,234000,235500,4,0,1,0,0,1,0,1,25
77,25,4.4,13.086438,80.220672,13.196438,80.330672,27032022,181500,182000,2,1,2,0,1,1,0,1,39
59,25,4.7,19.254567,72.848923,19.364567,72.958923,27032022,182000,182500,5,1,0,3,0,0,0,0,20
78,30,5.0,26.913483,75.803139,26.933483,75.823139,24032022,114500,115000,5,2,1,2,0,1,0,1,31
79,24,4.6,17.411028,78.329645,17.471028,78.389645,9032022,204500,205500,5,3,1,2,0,0,0,1,13
80,39,4.8,18.516216,73.842527,18.566216,73.892527,3032022,215500,221000,5,3,1,3,0,0,0,1,28
81,25,4.8,15.5696,73.742294,15.6096,73.782294,15022022,124500,125000,4,2,1,0,1,1,0,0,19
